Personid	English	Reading	Math	Science	Composite	Gender	RaceEthnicity	MealStatus	
6399	35	35	33	35	35	M	1	Reduced	
4249	32	35	31	35	33	M	6	Reimbursable	
5130	33	35	30	28	32	M	6	Reimbursable	
96788	29	30	34	34	32	M	6	Reimbursable	
100438	34	34	27	28	31	F	6	Reimbursable	
16022	32	28	26	33	30	M	6	Reimbursable	
11122	32	36	24	27	30	F	6	Reimbursable	
6219	34	26	29	30	30	F	6	Reimbursable	
15350	28	27	31	30	29	M	6	Free	
14997	34	35	22	25	29	F	6	Reimbursable	
3126	33	28	27	28	29	F	6	Free	
15308	29	31	29	25	29	F	6	Free	
53778	25	34	29	26	29	F	6	Reimbursable	
8034	27	32	26	26	28	F	6	Reimbursable	
4282	29	27	27	27	28	F	6	Free	
1620	33	31	24	24	28	M	6	Free	
4618	28	33	25	27	28	F	6	Reimbursable	
9475	25	23	33	32	28	M	6	Reimbursable	
2564	26	31	20	30	27	M	6	Reimbursable	
56023	24	32	24	26	27	M	6	Free	
7969	24	26	27	31	27	M	6	Reimbursable	
79255	28	30	25	26	27	M	6	Reimbursable	
12661	27	32	23	25	27	M	6	Reimbursable	
2609	26	30	27	24	27	F	6	Reimbursable	
5912	22	25	26	30	26	M	6	Reimbursable	
13853	30	23	25	26	26	F	6	Reimbursable	
13376	22	30	27	24	26	M	3	Reimbursable	
13826	30	25	24	23	26	F	6	Reimbursable	
65583	27	25	28	24	26	M	3	Free	
15695	27	28	24	23	26	F	6	Reimbursable	
2664	27	35	18	24	26	M	6	Reimbursable	
1664	21	30	26	25	26	F	6	Reduced	
6758	24	27	26	28	26	M	6	Free	
6980	22	33	22	28	26	M	6	Free	
63671	29	20	27	24	25	F	6	Reimbursable	
63290	23	27	26	25	25	M	7	Reimbursable	
282	24	24	25	25	25	M	6	Reduced	
2334	29	26	24	22	25	F	6	Reimbursable	
7848	30	31	17	23	25	F	6	Reimbursable	
2668	22	28	25	23	25	M	7	Reduced	
45363	27	24	25	24	25	M	6	Reimbursable	
7329	27	23	26	25	25	F	6	Reimbursable	
2620	27	22	24	21	24	F	6	Reimbursable	
77598	21	31	22	22	24	F	6	Free	
12392	29	26	20	22	24	F	6	Reimbursable	
5453	21	25	23	26	24	M	6	Reimbursable	
551	30	24	18	23	24	F	6	Reduced	
12802	25	23	23	23	24	F	6	Reimbursable	
1475	23	33	18	22	24	M	6	Free	
8431	23	26	24	23	24	M	6	Reimbursable	
9646	22	23	24	28	24	M	6	Reimbursable	
15224	22	26	24	21	23	M	6	Reimbursable	
10657	23	27	19	23	23	F	6	Reimbursable	
10249	23	22	22	26	23	M	6	Reimbursable	
4365	22	22	22	24	23	F	6	Reimbursable	
9825	24	23	21	22	23	M	6	Reimbursable	
15019	24	20	25	22	23	F	6	Free	
6303	20	27	22	24	23	F	6	Reimbursable	
4928	22	30	18	23	23	M	7	Free	
4269	25	26	18	24	23	F	6	Free	
6555	20	25	23	22	23	M	6	Reimbursable	
12356	22	28	21	19	23	M	6	Free	
10983	23	24	19	26	23	F	3	Free	
2658	19	25	21	25	23	M	6	Free	
1410	22	23	23	22	23	F	6	Reimbursable	
2637	19	27	22	23	23	F	7	Reduced	
14921	21	21	23	26	23	M	6	Free	
82355	21	25	19	22	22	F	6	Free	
7595	18	22	23	23	22	M	6	Reimbursable	
70626	22	26	18	23	22	F	6	Free	
11373	22	19	22	23	22	M	6	Reimbursable	
11119	18	23	24	23	22	M	4	Reimbursable	
12978	22	20	24	23	22	F	6	Reimbursable	
76096	23	21	23	22	22	M	6	Free	
6592	21	23	21	22	22	M	6	Reimbursable	
12410	22	21	20	24	22	M	6	Reimbursable	
15916	19	21	25	23	22	M	6	Reimbursable	
12556	21	20	24	22	22	M	6	Reimbursable	
32773	25	23	18	23	22	M	6	Free	
3167	20	22	23	24	22	F	6	Reimbursable	
16140	24	21	21	20	22	F	6	Reimbursable	
12422	24	21	22	19	22	F	6	Free	
8161	23	23	24	19	22	F	6	Reimbursable	
5233	19	21	24	23	22	M	6	Reduced	
4668	17	17	26	22	21	M	6	Reimbursable	
9536	20	21	19	23	21	M	6	Reimbursable	
8718	17	21	20	26	21	M	6	Free	
5132	20	23	18	23	21	M	6	Reimbursable	
14337	18	25	18	23	21	M	6	Reimbursable	
7790	21	19	21	24	21	M	1	Reimbursable	
12036	21	26	19	17	21	F	6	Free	
79518	21	22	20	21	21	F	1	Free	
16370	22	24	17	22	21	M	6	Reimbursable	
59625	23	17	20	22	21	M	6	Free	
74	21	21	19	23	21	M	6	Reimbursable	
48878	23	21	17	21	21	F	6	Free	
49435	24	21	19	19	21	F	6	Reimbursable	
3809	18	23	19	24	21	M	6	Free	
13055	21	21	21	20	21	F	6	Free	
12619	15	21	21	26	21	M	6	Free	
15252	23	26	17	19	21	F	6	Reimbursable	
12048	21	25	17	22	21	F	6	Reimbursable	
50247	25	24	16	16	20	F	5	Free	
82354	21	23	15	22	20	M	6	Free	
3545	20	23	19	16	20	F	6	Free	
13198	22	21	17	19	20	F	6	Free	
9786	22	19	20	18	20	F	6	Reimbursable	
6679	16	22	18	22	20	M	6	Reimbursable	
4823	20	20	17	24	20	F	6	Reimbursable	
59660	16	21	24	18	20	M	3	Reimbursable	
13606	18	19	21	21	20	M	7	Free	
14679	20	15	21	23	20	M	6	Free	
9447	21	21	16	21	20	F	6	Free	
983	19	15	22	25	20	F	6	Free	
16179	22	17	19	21	20	F	6	Reimbursable	
57051	20	21	17	20	20	F	6	Reimbursable	
7829	22	17	19	23	20	F	6	Reimbursable	
14905	18	23	16	17	19	F	6	Reimbursable	
6311	17	17	19	21	19	M	6	Free	
14321	21	17	20	18	19	F	6	Free	
13892	14	22	18	23	19	M	6	Reimbursable	
406	25	18	17	17	19	M	6	Reimbursable	
100063	18	21	17	19	19	M	6	Free	
80142	18	22	15	21	19	F	6	Reimbursable	
44902	21	17	16	21	19	F	6	Free	
10209	19	26	17	15	19	M	6	Reduced	
231	18	20	19	17	19	M	6	Reimbursable	
13557	21	20	16	19	19	M	6	Reimbursable	
9486	15	19	23	19	19	M	6	Free	
5240	20	19	18	18	19	M	6	Reimbursable	
967	19	23	15	19	19	M	6	Free	
2858	16	19	19	22	19	M	6	Free	
4429	18	21	17	18	19	M	6	Reimbursable	
4831	15	21	19	19	19	F	6	Free	
70627	20	21	17	19	19	M	6	Reimbursable	
101962	23	20	17	16	19	F	6	Free	
10360	20	21	17	17	19	F	6	Free	
8771	14	18	21	21	19	M	6	Reimbursable	
14798	15	22	18	19	19	F	6	Free	
8741	18	23	16	19	19	F	6	Reimbursable	
8063	19	16	21	19	19	F	6	Reduced	
46976	20	17	17	19	18	F	4	Free	
3964	15	17	19	19	18	M	6	Reimbursable	
65643	20	19	16	18	18	F	6	Reimbursable	
15431	19	13	17	22	18	F	6	Free	
5210	19	19	16	17	18	F	1	Reimbursable	
7280	15	19	19	20	18	M	6	Reimbursable	
14802	18	14	20	19	18	M	6	Reimbursable	
15762	19	19	16	19	18	F	6	Reimbursable	
7506	17	20	16	19	18	F	6	Reimbursable	
55982	20	18	13	19	18	F	6	Free	
96460	18	19	17	17	18	M	4	Free	
70236	12	21	15	22	18	M	4	Reimbursable	
11239	18	19	14	19	18	F	6	Reduced	
12288	16	20	16	19	18	F	6	Reimbursable	
10787	17	17	18	21	18	F	6	Reimbursable	
3891	15	19	21	18	18	M	6	Reimbursable	
94593	17	23	17	15	18	M	6	Free	
76283	16	19	20	17	18	M	6	Free	
82380	19	20	16	18	18	M	1	Reimbursable	
15699	12	21	17	21	18	M	6	Reimbursable	
9704	15	16	23	17	18	M	7	Free	
97985	18	18	16	18	18	F	6	Free	
13237	16	20	17	16	17	F	1	Free	
7804	14	18	16	19	17	M	6	Free	
496	13	14	21	18	17	M	6	Reduced	
46726	16	21	17	12	17	M	6	Reimbursable	
4881	15	18	16	18	17	F	6	Reimbursable	
576	15	20	16	17	17	F	7	Reimbursable	
7534	17	15	17	17	17	F	4	Free	
6052	15	20	17	17	17	F	6	Reimbursable	
8762	16	14	17	20	17	F	6	Reimbursable	
102705	14	17	19	19	17	F	6	Reimbursable	
4338	15	18	17	18	17	M	6	Reimbursable	
10888	16	18	16	18	17	F	6	Reimbursable	
7821	16	19	21	13	17	M	6	Reduced	
4838	17	20	17	14	17	M	6	Free	
98623	10	14	24	19	17	M	3	Reimbursable	
11840	15	17	17	18	17	F	6	Reimbursable	
36509	18	17	16	15	17	M	6	Reimbursable	
11011	21	14	16	17	17	F	1	Reimbursable	
1472	16	16	19	17	17	M	6	Free	
5280	17	15	16	18	17	F	1	Free	
35949	14	16	16	21	17	M	6	Free	
73027	15	19	16	16	17	M	6	Reimbursable	
16060	17	18	17	17	17	M	6	Reimbursable	
53590	16	15	16	19	17	M	6	Reimbursable	
70494	16	15	17	19	17	M	6	Free	
80618	13	22	14	17	17	M	6	Free	
1899	14	19	17	19	17	F	6	Reimbursable	
2382	15	17	20	17	17	F	6	Reimbursable	
4897	15	21	15	16	17	F	6	Reimbursable	
10154	11	20	16	18	16	M	6	Free	
14889	15	15	16	17	16	M	7	Reimbursable	
9215	17	17	16	12	16	F	6	Reimbursable	
1488	10	18	15	20	16	M	6	Free	
3273	14	16	16	17	16	F	6	Free	
11439	12	14	16	22	16	M	6	Reimbursable	
15968	15	17	16	17	16	M	6	Reimbursable	
8379	17	17	16	15	16	F	4	Free	
105184	15	19	16	14	16	M	6	Reimbursable	
92764	17	17	15	13	16	F	6	Reimbursable	
2279	11	21	16	17	16	F	6	Reimbursable	
12492	15	15	18	17	16	M	6	Reimbursable	
53185	19	13	15	17	16	F	6	Reimbursable	
6633	13	14	16	19	16	M	6	Reimbursable	
11444	15	17	17	15	16	M	6	Reimbursable	
1813	15	17	14	18	16	M	4	Reimbursable	
4442	17	16	14	17	16	F	6	Reimbursable	
1304	16	17	16	15	16	M	6	Reimbursable	
38736	15	19	15	16	16	M	6	Free	
14272	14	14	17	17	16	M	6	Free	
4891	11	14	16	18	15	F	6	Free	
5931	15	12	15	16	15	F	6	Free	
13300	15	12	15	17	15	M	6	Reduced	
4277	16	13	14	15	15	F	6	Reimbursable	
5285	13	15	16	17	15	M	6	Reimbursable	
6319	15	16	15	14	15	M	6	Reimbursable	
11002	8	15	15	20	15	M	6	Free	
3857	13	13	17	17	15	M	6	Reimbursable	
70074	16	11	19	13	15	M	6	Free	
91725	10	16	15	17	15	F	4	Reimbursable	
9346	15	13	18	15	15	M	6	Reimbursable	
12965	15	14	16	15	15	F	1	Free	
65967	11	16	16	16	15	F	3	Reimbursable	
78383	12	14	17	17	15	F	3	Free	
12358	15	13	16	17	15	F	6	Reduced	
4782	15	13	17	15	15	F	6	Reduced	
51184	14	15	16	15	15	M	6	Free	
14758	11	15	15	14	14	F	6	Free	
97635	12	14	15	14	14	F	1	Reimbursable	
4006	12	16	16	13	14	F	4	Free	
7225	12	13	16	16	14	M	6	Free	
797	13	15	15	14	14	M	6	Free	
318	12	14	15	14	14	M	7	Free	
35832	14	13	16	14	14	M	6	Reimbursable	
3892	14	13	14	15	14	F	6	Reimbursable	
12504	12	12	16	15	14	F	6	Reimbursable	
1491	11	13	16	14	14	M	6	Reimbursable	
57321	10	16	16	14	14	M	1	Reimbursable	
102894	11	13	16	16	14	M	1	Reimbursable	
34314	16	14	13	13	14	M	6	Reimbursable	
104731	15	11	15	13	14	F	3	Reimbursable	
104732	12	11	17	17	14	F	3	Reimbursable	
103083	11	16	15	15	14	M	4	Free	
4027	13	12	14	13	13	F	6	Reduced	
8907	17	13	13	9	13	M	6	Free	
2030	11	12	16	14	13	F	6	Reimbursable	
35303	10	14	15	14	13	M	6	Reimbursable	
13701	10	14	16	13	13	M	6	Free	
7726	11	13	16	13	13	F	6	Free	
68260	11	15	13	14	13	F	3	Reimbursable	
16416	12	12	14	14	13	M	6	Reimbursable	
69049	9	12	13	18	13	M	1	Reimbursable	
987	10	16	16	11	13	M	6	Reimbursable	
71060	8	14	16	14	13	F	3	Reimbursable	
85322	9	13	15	16	13	M	3	Free	
102960	11	12	15	15	13	M	1	Reimbursable	
103412	12	12	14	12	13	M	6	Reimbursable	
1132	11	12	15	13	13	F	6	Reimbursable	
13590	9	15	15	12	13	M	4	Free	
65584	10	9	14	18	13	M	3	Free	
571	11	11	14	12	12	M	6	Reimbursable	
52525	11	10	15	12	12	F	6	Reduced	
91844	10	10	14	15	12	F	3	Free	
77714	10	12	15	11	12	M	3	Free	
99468	12	9	13	14	12	M	4	Free	
87351	9	9	16	13	12	M	3	Free	
11217	12	10	13	14	12	M	6	Free	
7339	9	9	14	17	12	M	6	Reimbursable	
77806	9	12	14	12	12	F	6	Reimbursable	
11795	8	13	13	14	12	M	7	Free	
76088	10	10	14	13	12	M	7	Reimbursable	
1260	12	9	14	10	11	M	6	Reimbursable
